0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:18 +0800] "GET /index.html HTTP/1.1" 400 341
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:19 +0800] "GET /favicon.ico HTTP/1.1" 404 126
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:54 +0800] "GET /index.html?_p=4489b7c2bc6b389118a2a033d7733762d3fb15ae263d77107cb1d6951b33f1126b3df9f2082cc7efb5b7beb7acddf8130afd31fb9e7f01553c246a6f42a606969d44b128b6d14b0ef7c35e5541256ed8bea65e2488a198cba619968cbaa4dc523f7c56216bb3a8462361eeb512be3226b693439681e9e33efb5e4942eb115e4ded94fc1ab866c4179cdd2d3bb73f5e57bc9b6756753e50ade56f7ab71450855aab99062a7d20567c4514b5eced3fff82 HTTP/1.1" 200 47755
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:54 +0800] "GET /css/iconfont.css HTTP/1.1" 200 9580
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:54 +0800] "GET /css/iosSelect.css HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:54 +0800] "GET /plugins/flexible.js HTTP/1.1" 200 1883
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:54 +0800] "GET /js/index/style.css HTTP/1.1" 200 20727
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:54 +0800] "GET /js/require.js HTTP/1.1" 200 86670
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /js/config.js HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/5/title.png HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /js/index/index.js HTTP/1.1" 200 23236
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/80-90.png HTTP/1.1" 200 31983
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/dowmap.jpg HTTP/1.1" 200 72096
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/adup.jpg HTTP/1.1" 200 64767
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /plugins/funs/common.js HTTP/1.1" 200 3002
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /component/FooterBar/footerBar.js HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /plugins/funs/count.js HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /plugins/lib/vue.min.js HTTP/1.1" 200 76004
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /plugins/lib/jquery.min.js HTTP/1.1" 200 85577
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /plugins/lib/echarts.min.js HTTP/1.1" 200 664016
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /plugins/lib/html2canvas.js HTTP/1.1" 200 144491
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/5/title.png HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/80-90.png HTTP/1.1" 200 31983
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/dowmap.jpg HTTP/1.1" 200 72096
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/adup.jpg HTTP/1.1" 200 64767
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "POST /getAdvertising?_p=4489b7c2bc6b389118a2a033d7733762d3fb15ae263d77107cb1d6951b33f1126b3df9f2082cc7efb5b7beb7acddf8130afd31fb9e7f01553c246a6f42a606969d44b128b6d14b0ef7c35e5541256ed8bea65e2488a198cba619968cbaa4dc523f7c56216bb3a8462361eeb512be3226b693439681e9e33efb5e4942eb115e4ded94fc1ab866c4179cdd2d3bb73f5e57bc9b6756753e50ade56f7ab71450855aab99062a7d20567c4514b5eced3fff82 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/indexBg.png HTTP/1.1" 200 78391
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/right.png HTTP/1.1" 200 4346
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/up-down.png HTTP/1.1" 200 3564
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/1/home-icon.png HTTP/1.1" 200 5940
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/tab_bar_icon/nav-tab-active.png HTTP/1.1" 200 8521
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:55 +0800] "GET /images/tab_bar_icon/nav-tab.png HTTP/1.1" 200 9743
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:57 +0800] "GET /css/iconfont.css HTTP/1.1" 200 9580
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:57 +0800] "GET /css/iosSelect.css HTTP/1.1" 200 7851
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:57 +0800] "GET /js/index/style.css HTTP/1.1" 200 20727
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:58 +0800] "GET /js/index/style.css.map HTTP/1.1" 200 12467
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:58 +0800] "GET /weUserWeightList?_p=4489b7c2bc6b389118a2a033d7733762d3fb15ae263d77107cb1d6951b33f1126b3df9f2082cc7efb5b7beb7acddf8130afd31fb9e7f01553c246a6f42a606969d44b128b6d14b0ef7c35e5541256ed8bea65e2488a198cba619968cbaa4dc523f7c56216bb3a8462361eeb512be3226b693439681e9e33efb5e4942eb115e4ded94fc1ab866c4179cdd2d3bb73f5e57bc9b6756753e50ade56f7ab71450855aab99062a7d20567c4514b5eced3fff82&type=1 HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [28/Dec/2017:14:23:59 +0800] "GET /index.html?_p=4489b7c2bc6b389118a2a033d7733762d3fb15ae263d77107cb1d6951b33f1126b3df9f2082cc7efb5b7beb7acddf8130afd31fb9e7f01553c246a6f42a606969d44b128b6d14b0ef7c35e5541256ed8bea65e2488a198cba619968cbaa4dc523f7c56216bb3a8462361eeb512be3226b693439681e9e33efb5e4942eb115e4ded94fc1ab866c4179cdd2d3bb73f5e57bc9b6756753e50ade56f7ab71450855aab99062a7d20567c4514b5eced3fff82 HTTP/1.1" 200 47755
